,Title,Price,No. Reviews,Display size,Storage type,CPU Speed,RAM,Rating,Brand,graphics,Processor
0,"ASUS Full HD VivoBook X413JA 14-inch Laptop (Intel Core i5, 8GB RAM, 512GB SSD, Windows 10, Full HD Screen)",529.99,135,14.0,SSD,2.4,8,4.1,asus,0,i5
1,"Jumper Laptop 13.3 inch with Microsoft Office 365 FHD Computer 4GB 64GB Windows 10 , USB 3.0, Dual Band Wifi, support 128GB Micro SD and 1TB SSD Expansion",229.99,1081,13.3,Flash Memory Solid State,2.2,4,4.3,other_brand,0,unknown
2,"ASUS ZenBook UX325JA 13.3 inch Full HD Laptop (Intel i5-1035G1, 16GB RAM, 512GB PCIe SSD, 32GB Intel Optane Memory, Backlit Keyboard, Windows 10) Includes USB-C to Audio Jack Adapter & Carry Sleeve",729.99,103,13.3,SSD,1.0,16,4.4,asus,0,i5
3,"Lenovo V15 ADA 15.6"" Full HD Laptop AMD Athlon 3150U 8GB RAM 256GB SSD Windows 10 - 82C7000BUK",398.7,82,15.6,SSD,2.4,8,4.4,lenovo,0,amd
4,"Acer Predator Helios 300 PH315-53 15.6 inch Gaming Laptop (Intel Core i7-10750H, 16GB RAM, 1TB SSD, NVIDIA GTX 1660Ti, Full HD 144Hz Display, Windows 10, Black)",1098.97,1,15.6,Flash Memory Solid State,5.0,16,5.0,acer,1,i7
5,"ASUS ZenBook S13 UX393 13.9 Inch Full HD 500nits Touchscreen Laptop (Intel i7-1065G7, 16 GB RAM, 1 TB PCIe SSD, Backlit Keyboard, Windows 10), Black",1099.99,17,13.9,Flash Memory Solid State,1.3,16,4.0,asus,0,i7
6,"New Apple MacBook Air with Apple M1 Chip (13-inch, 8GB RAM, 256GB SSD) - Space Grey (Latest Model)",949.0,673,13.3,Flash Memory Solid State,3.1,8,4.8,other_brand,0,unknown
7,"Acer Chromebook 314 CB314-H - (Intel Celeron N4000, 4GB RAM, 64GB eMMC, 14 inch Full-HD display, Chrome OS, Silver) – Amazon Exclusive",259.99,396,14.0,Flash Memory Solid State,1.1,4,4.5,acer,0,unknown
8,"14.1"" Full HD Windows 10 Professional Slim n Light Laptop, Revolutionary Design - 4GB RAM, 64GB Storage S14+ Model Lapbook, Intel Celeron, USB 3.0, 5GHz WIFI, Expandable Storage",259.95,284,14.1,SSD,1.1,4,4.2,other_brand,0,unknown
9,"Jumper 11.6 inch Touch screen Laptop 6GB DDR3 128GB ROM, 360 Degree Convertible Tablet PC Windows 10 small laptop Intel Celeron Quad core processor Supports 256GB TF Card Expansion",266.66,340,11.6,EMMC,1.1,6,4.4,other_brand,0,unknown
10,"Dell Inspiron 3501 15.6 Inch HD (1366 x 768) Laptop, Intel Core i3-1005G1 Processor (3.4 GHz), 4 GB RAM, 128 GB NVMe SSD, Waves MaxxAudio Pro, Windows 10 Home",449.0,60,15.6,Flash Memory Solid State,3.4,4,4.5,dell,0,i3
11,"ASUS 15.6 Inch Touchscreen ChromeBook C523NA Full HD Laptop (Intel Pentium N4200 Processor, 4 GB RAM, 64GB eMMC, Chrome OS, Full HD Touchscreen)",297.99,2677,15.6,Others,2.5,4,4.4,asus,0,unknown
12,"New Dell Inspiron 3000 15.6-inch FHD LED Backlight Laptop, AMD Ryzen 5 3500U Processor with Radeon Vega 8 Graphics, 8 GB RAM, 256GB SSD, Waves MaxxAudio Pro, Win 10, Black",495.0,60,15.6,Flash Memory Solid State,3.7,8,4.5,other_brand,1,amd
13,"Lenovo IdeaPad 5i 15.6 Inch Laptop (Core i5, 8GB RAM, 256GB SSD, Windows 10 Home S Mode) - Graphite Grey",549.0,22,15.6,SSD,1.0,8,4.5,lenovo,0,i5
14,"ASUS ZenBook Flip UX363EA Full HD 13.3"" Touchscreen Laptop (Intel i7-1165G7, 16GB RAM, 512GB PCIe SSD, Windows 10) - Includes LED NumberPad, Pine Grey",899.99,11,13.3,Flash Memory Solid State,2.8,16,3.9,asus,0,i7
15,"ASUS Full HD VivoBook with Microsoft Office 365 E410MA 14 Inch Laptop (Intel Celeron N4020, 4 GB RAM, 64 GB eMMC, Full HD Screen, Windows 10 S) Includes 1 Year Microsoft Office 365",249.99,2661,14.0,HDD,1.1,4,4.0,asus,0,unknown
16,"ASUS ZenBook UM425 Full HD 14"" Ultrabook Laptop (AMD Ryzen 7-4700U, 16GB RAM, 512GB SSD, Backlit Keyboard, Windows 10) Includes LED Numbered Trackpad",739.99,103,14.0,SSD,2.0,16,4.4,asus,0,amd
17,"Lenovo IdeaPad 1i 11.6 Laptop - Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, Windows 10S, Platinum Grey + Office 365 Personal",199.99,6,11.6,SSD,4.7,4,3.2,lenovo,0,unknown
18,"ASUS VivoBook M413IA 14 inch Full HD Laptop (AMD Ryzen 7-4700U, 8GB RAM, 512GB SSD, Wi-Fi 6, Windows 10), Black",599.99,729,14.0,SSD,2.0,8,4.5,asus,0,amd
19,TECLAST F7 Plus 14 Inch Laptop 8GB RAM 256GB SSD FHD Intel Geminil Lake N4100 Quad Core Metal Body 64 Bit Windows 10 Computer PC Notebook Support 512 GB TF Card 1T M.2 SSD 1920x1080 IPS Display,399.99,221,14.1,SATA,2.4,8,3.8,other_brand,0,unknown
20,Jumper 2-in-1 Touch screen Laptop With Microsoft 365 11.6 inch FHD Touchscreen Laptop 4GB DDR4 64GB eMMC Intel Celeron Quad Core CPU Windows 10 Tablet PC British Keyboard USB3.O,299.99,292,11.6,EMMC,1.1,4,4.1,other_brand,0,unknown
21,"Microsoft Surface Laptop Go Ultra-Thin 12.4” Touchscreen Laptop (Platinum) - Intel 10th Gen Quad Core i5, 4GB RAM, 64GB eMMC, Windows 10 Home in S Mode, 2020 Edition",549.0,118,12.4,SSD,3.6,64,4.5,other_brand,0,i5
22,"NBD Laptop 14 inch Windows 10 Netbook,4 GB RAM, 64 GB eMMC,Support 256GB TF card and 1TB SSD Expansion,Laptops equipped with Laptop Bag, Mouse, Mouse Pad & Headphone",265.0,4,14.0,SATA,1.1,4,5.0,other_brand,0,unknown
23,"ASUS ZenBook UX434FQ 14 Inch Full HD Touchscreen Laptop (Intel Core i7, Nvidia MX350 Graphics, 16 GB RAM, 512 GB SSD, Windows 10) Includes Secondary Trackpad Screen",899.99,103,14.0,Flash Memory Solid State,1.8,16,4.4,asus,1,i7
24,Jumper EZbook X1 11.6 Inch Laptop 6GB RAM 128GB eMMC Touch Screen 360 Degrees Tablet PC Ultrabook PC Windows 10 Intel Celeron Quad Core Processor Supports 256GB TF Card and 1TB SSD Extension,319.99,412,11.6,EMMC,1.1,6,4.3,other_brand,0,unknown
25,"Microsoft Surface Laptop Go Ultra-Thin 12.4” Touchscreen Laptop (Platinum) - Intel 10th Gen Quad Core i5, 8GB RAM, 128GB SSD, Windows 10 Home in S Mode, 2020 Edition",629.0,118,12.45,Flash Memory Solid State,3.6,8,4.5,other_brand,0,i5
26,"HP OMEN 15-en0008na 15.6 Inch Full HD, 144 Hz Gaming Laptop, AMD Ryzen 7 4800H, 16 GB RAM, 512 GB SSD, NVIDIA GeForce RTX 2060 (6 GB Dedicated) Graphics, Windows 10 Home - Mica Silver",1199.99,307,15.6,Flash Memory Solid State,2.9,16,4.6,hp,1,amd
27,"Jumper Laptop with Microsoft Office 365, 13.3 inches FHD Computer PC 4GB RAM 64GB eMMC (Intel Celeron CPU, Windows 10, Dual-band WiFi, USB3.0) Support 256GB TF card and 1TB SSD Expansion",229.49,3425,13.3,EMMC,1.1,4,4.2,other_brand,0,unknown
28,"ASUS VivoBook with Microsoft Office 365 A416MA 14 inch Full HD Laptop (Intel Pentium N5030, 4GB RAM, 128GB SSD, Windows 10) Includes 1 year Microsoft Office",349.99,135,14.0,SSD,1.1,4,4.1,asus,0,unknown
29,GeoFlex 110 Convertible Laptop and Tablet 11.6-inch HD Touchscreen Windows 10 Intel Celeron 4GB RAM,199.0,2,11.6,EMMC,1.1,4,5.0,other_brand,0,unknown
30,"ASUS VivoBook S413EA Full HD 14 Inch Metal Laptop (Intel Quad-Core i5-1135G7, 16 GB RAM, 512 GB SSD, Backlit Keyboard, Wi-Fi 6, Windows 10) Includes LED Number Trackpad",599.99,135,14.0,SSD,2.4,16,4.1,asus,0,i5
31,"New Lenovo Quad Turbo Laptop, 20GB RAM, 500GB SSD, RX Vega 3 Graphics, Win 10 Pro, Office 2019",738.88,18,15.6,SSD,3.5,20,4.9,other_brand,1,unknown
32,"Jumper Laptop with Microsoft Office 365, 13.3 inch FHD Windows 10 Computer 4GB RAM 64GB eMMC , Dual-band WiFi, USB3.0,PC Support 256GB TF card and 1TB SSD Expansion",269.99,64,13.3,EMMC,1.1,4,4.3,other_brand,0,unknown
33,"ASUS TUF FA506 144Hz Full HD 15.6"" Gaming Laptop (AMD Ryzen 7-4800H, Nvidia GeForce RTX 2060 Graphics, 8GB RAM, 256GB PCIe SSD, Windows 10), Black",899.99,124,15.6,Flash Memory Solid State,2.9,8,4.4,asus,1,amd
34,"ASUS 15.6"" ChromeBook C523NA (Intel Celeron N3350, 4 GB RAM, 64 GB eMMC, Chrome OS)",248.0,2677,15.6,Others,1.1,4,4.4,asus,0,unknown
35,"ASUS VivoBook M712DA 17.3 inch Full HD Laptop (AMD Ryzen 3, 8GB RAM, 1TB HDD, Backlit Keyboard, Windows 10) Includes Wired Mouse and Carry Bag",469.99,84,17.3,HDD,2.6,8,4.3,asus,0,amd
36,"Lenovo IdeaPad 3 17.3 Inch HD+ Laptop - (Intel Pentium Gold, 4 GB RAM, 1 TB HDD, Windows 10 S Mode) - Platinum Grey",449.99,80,17.3,Others,2.4,4,4.0,lenovo,0,unknown
37,"HP EliteBook 840 G3 14 inches HD Ultrabook Core i5 6200U up to 2.8GHz, 8GB RAM, 256GB SSD, Wireless 11ac & Bluetooth 4.2, Windows 10 Pro - Plain non-HP OEM Packed - UK keyboard Layout (Renewed)",430.0,94,14.0,SSD,2.8,8,4.3,hp,0,i5
38,"[Combo Pack] Simbans TangoTab 10 Inch Tablet with Keyboard 2-in-1 Laptop, 4GB RAM, 64 GB Storage, Android 10, Mini HDMI, Micro-USB - TX4L",159.94,239,10.1,Others,2.0,4,3.9,other_brand,0,unknown
39,"LENOVO IdeaPad 1 14"" Laptop AMD 3020e 64GB eMMC 4GB RAM - Ice Blue",299.0,53,14.0,EMMC,1.2,4,4.3,lenovo,0,amd
40,"Dell Inspiron 3501 15.6 Inch FHD (1920 x 1080) Laptop, Intel Core i5-1135G7 Processor (4.2 GHz), 8 GB RAM, 256 GB NVMe SSD, Waves MaxxAudio Pro, Windows 10 Home",599.0,60,15.6,Flash Memory Solid State,4.2,8,4.5,dell,0,i5
41,"CHUWI HeroBook Pro Laptop, 14.1'' FHD (1920x1080) IPS Display, 8GB RAM, 256GB SSD, Intel Gemini Lake N4000 (UP to 2.6GHZ), Windows 10 OS, 4K Video Decoding, Support 1T SSD, 2.4G WiFi, HDMI",349.0,485,14.1,SSD,1.1,8,4.0,other_brand,0,unknown
42,LincPlus P3 Laptop 14 inch Full HD Netbook Intel Celeron N3350 Processor 4GB RAM 64GB Storage Windows 10 in S Mode Notebook White,239.0,304,14.0,SATA,1.1,4,4.1,other_brand,0,unknown
43,"CHUWI Hi10 X Tablet PC, 10.1 inch 1200*1920 IPS Touch Screen with Windows 10 OS (intel Gemini-Lake N4120) Quad-Cores, 6GB RAM+128GB ROM, Wifi,With Keyboard and Stylus",279.0,113,10.1,SATA,1.1,6,3.8,other_brand,0,unknown
44,"Lenovo IdeaPad 5 15.6 Inch FHD Laptop - (AMD Ryzen 7, 8 GB RAM, 512 GB SSD, Windows 10 Home S Mode) - Platinum Grey",629.0,9,15.6,Flash Memory Solid State,2.0,8,5.0,lenovo,0,amd
45,"15.6 inch Laptop (Intel Celeron 64-bit, 6GB DDR3 RAM, 128GB SSD, 10000mAH battery, HD webcam, Windows 10 OS Preinstalled, 1920 * 1080 FHD IPS display) Notebook",302.99,71,15.6,SSD,1.5,6,3.5,other_brand,0,unknown
46,"Acer Swift 1 SF114-33 14 inch Laptop - (Intel Pentium N6000, 4GB RAM, 128GB SSD, Full HD Display, Windows 10 in S Mode, Silver)",399.99,370,14.0,Flash Memory Solid State,2.5,4,4.6,acer,0,unknown
