Title,Price,No. Reviews,Display size,Storage type,CPU Speed,RAM,Rating
"Microsoft Surface Pro 7 12.3” Tablet (Platinum) - Intel 10th Gen Quad Core i5, 8GB RAM, 256GB SSD, Windows 10 Home, 2019 EditionMicrosoft Surface Pro Signature Type Cover - Charcoal",1108.19,652,-,Windows 10 Home,12.3 in,256 GB,4.7 out of 5 stars
"ASUS Full HD VivoBook X413JA 14-inch Laptop (Intel Core i5, 8GB RAM, 512GB SSD, Windows 10, Full HD Screen)",529.99,135,14 in,SSD,2.4 GHz,8 GB,4.1 out of 5 stars
"ASUS VivoBook with Microsoft Office 365 L410MA 14 Inch Full HD Laptop (Intel Celeron N4020, 4 GB RAM, 64 GB eMMC, Windows 10 S) Includes 1 Year Microsoft Office Subscription",219.99,"2,661",14,HDD,1.1 GHz,4 GB,4.0 out of 5 stars
"Jumper Laptop 13.3 inch with Microsoft Office 365 FHD Computer 4GB 64GB Windows 10 , USB 3.0, Dual Band Wifi, support 128GB Micro SD and 1TB SSD Expansion",229.99,"1,081",13.3 in,Flash Memory Solid State,2.2 GHz,4 GB,4.3 out of 5 stars
"ASUS Full HD VivoBook X413JA 14-inch Laptop (Intel Core i5, 8GB RAM, 512GB SSD, Windows 10, Full HD Screen)",529.99,135,14 in,SSD,2.4 GHz,8 GB,4.1 out of 5 stars
"ASUS ZenBook UX325JA 13.3 inch Full HD Laptop (Intel i5-1035G1, 16GB RAM, 512GB PCIe SSD, 32GB Intel Optane Memory, Backlit Keyboard, Windows 10) Includes USB-C to Audio Jack Adapter & Carry Sleeve",729.99,103,13.3 in,SSD,1 GHz,16 GB,4.4 out of 5 stars
"Lenovo V15 ADA 15.6"" Full HD Laptop AMD Athlon 3150U 8GB RAM 256GB SSD Windows 10 - 82C7000BUK",398.7,82,15.6 in,SSD,2.4 GHz,8 GB,4.4 out of 5 stars
"Acer Predator Helios 300 PH315-53 15.6 inch Gaming Laptop (Intel Core i7-10750H, 16GB RAM, 1TB SSD, NVIDIA GTX 1660Ti, Full HD 144Hz Display, Windows 10, Black)",1098.97,1,15.6 in,Flash Memory Solid State,5 GHz,16 GB,5.0 out of 5 stars
"ASUS ZenBook S13 UX393 13.9 Inch Full HD 500nits Touchscreen Laptop (Intel i7-1065G7, 16 GB RAM, 1 TB PCIe SSD, Backlit Keyboard, Windows 10), Black",1099.99,17,13.9 in,Flash Memory Solid State,1.3 GHz,16 GB,4.0 out of 5 stars
"New Apple MacBook Air with Apple M1 Chip (13-inch, 8GB RAM, 256GB SSD) - Space Grey (Latest Model)",949.0,673,13.3 in,Flash Memory Solid State,3.1 GHz,8 GB,4.8 out of 5 stars
"Acer Chromebook 314 CB314-H - (Intel Celeron N4000, 4GB RAM, 64GB eMMC, 14 inch Full-HD display, Chrome OS, Silver) – Amazon Exclusive",259.99,396,14 in,Flash Memory Solid State,1.1 GHz,4 GB,4.5 out of 5 stars
"14.1"" Full HD Windows 10 Professional Slim n Light Laptop, Revolutionary Design - 4GB RAM, 64GB Storage S14+ Model Lapbook, Intel Celeron, USB 3.0, 5GHz WIFI, Expandable Storage",259.95,284,14.1 in,SSD,1.1 GHz,4 GB,4.2 out of 5 stars
"ASUS Chromebook C223NA (Grey) (Intel Celeron N3350, 4 GB RAM, 32 GB eMMC, 11.6 Inch HD Screen, Chrome OS)",179.0,"2,677",29.46 cm,eMMC,1.1 GHz,4 GB,4.4 out of 5 stars
